id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
81	"sadiq, saima"	0.2763	0.843	11	5	5	1	16	2.3704	2023	16	2.3704
82	"shankar, k."	0.42	-0.4068	5	6	6	1	86	0.305	2018	86	0.305
83	"shen, shigen"	-0.0902	0.547	10	5	5	1	11	2.75	2024	11	2.75
84	"shen, yizhou"	-0.0518	0.5872	10	5	5	1	11	2.75	2024	11	2.75
85	"shuja, junaid"	-0.1851	0.0385	8	5	5	1	29	1.7313	2021	29	1.7313
86	"siddiqui, hafeez ur rehman"	0.3047	0.9025	11	5	5	1	16	2.3704	2023	16	2.3704
87	"singh, vivek k."	0.9728	0.6429	25	1	1	1	1	0.0597	2021	1	0.0597
88	"sinky, hassan"	-0.1422	0.1363	8	5	5	1	29	1.7313	2021	29	1.7313
89	"srivastava, gautam"	0.046	-0.8711	4	7	7	2	93	4.3256	2022	46.5	2.1628
90	"su, yuting"	0.5853	0.0185	9	5	5	1	0	0	2024	0	0
91	"sun, yanjing"	0.8265	0.3406	13	4	4	1	12	0.4	2020	12	0.4
92	"sun, yeran"	-0.4684	-0.7682	7	6	6	1	21	0.9767	2022	21	0.9767
93	"tian, fang"	-0.943	0.1367	1	4	4	1	47	1.5667	2020	47	1.5667
94	"ullah, saleem"	0.257	0.9479	11	5	5	1	16	2.3704	2023	16	2.3704
95	"umer, muhammad"	0.2107	0.8509	11	5	5	1	16	2.3704	2023	16	2.3704
96	"wan, tao"	-0.7808	-0.0822	1	6	6	1	31	1.0333	2020	31	1.0333
97	"wang, bowen"	0.7989	0.2979	13	4	4	1	12	0.4	2020	12	0.4
98	"wang, guoyin"	-0.4522	0.4249	6	6	6	1	60	2.7907	2022	60	2.7907
99	"wang, xiaojie"	-0.5561	0.3885	6	6	6	1	60	2.7907	2022	60	2.7907
100	"wang, xiaokang"	0.8833	-0.4351	14	4	4	1	5	0.2326	2022	5	0.2326
101	"wiegmann, matti"	-0.4543	-0.8302	7	6	6	1	21	0.9767	2022	21	0.9767
102	"wu, bin"	0.1432	-0.0261	18	3	3	1	21	0.9767	2022	21	0.9767
103	"wu, changxing"	-0.7348	-0.0376	1	6	6	1	31	1.0333	2020	31	1.0333
104	"wu, guowen"	-0.0404	0.5224	10	5	5	1	11	2.75	2024	11	2.75
105	"wu, yixuan"	-0.4935	0.3769	6	6	6	1	60	2.7907	2022	60	2.7907
106	"yan, yutian"	0.3832	0.3606	3	7	7	1	5	0.2326	2022	5	0.2326
